order,pokemon,drafted_by,cost
1,Croagunk,Pavan,3500
2,Cutiefly,Ely,2800
3,Magby,Ely,2700
4,Goomy,Joey,2300
5,Torchic,Jackson,3900
6,Geodude,Ely,3200
7,Aron,Joey,3200
8,Bounsweet,Ely,2800
9,Magnemite,Joey,3000
10,Skiddo,Jackson,3000
11,Bagon,Austin,3400
12,Cottonee,Pavan,2500
13,Litwick,Joey,3200
14,Pichu,Austin,1800
15,Trubbish,Austin,1500
16,Chespin,Austin,3500
17,Greavard,Austin,2000
18,Fennekin,Pavan,3600
19,Lillipup,Pavan,2300
20,Starly,Ely,2600
21,Blitzle,Joey,1900
22,Vulpix,Joey,2300
23,Piplup,Austin,2400
24,Popplio,Jackson,3200
25,Diglett,Austin,1300
26,Shroodle,Jackson,1700
27,Hatenna,Joey,2000
28,Tentacool,Pavan,2500
29,Morelull,Jackson,1500
30,Rockruff,Joey,1200
31,Corsola,Pavan,2100
32,Ralts,Jackson,3900
33,Mudbray,Austin,3200
34,Venipede,Pavan,1100
35,Flabebe,Ely,1000
36,Frillish,Ely,2900
37,Skrelp,Ely,2000
38,Blipbug,Jackson,1000
39,Cacnea,Jackson,1000
40,Scyther,Pavan,2400